junction_id,connection_id,issue,detail
1006,5,connector_start_pose_mismatch,3.500001
1006,5,connector_end_pose_mismatch,3.5
1007,4,connector_start_pose_mismatch,3.5
1007,4,connector_end_pose_mismatch,3.5
1008,2,connector_start_pose_mismatch,3.5
1008,2,connector_end_pose_mismatch,3.5
1008,5,connector_start_pose_mismatch,3.5
1008,5,connector_end_pose_mismatch,3.5
596,10,connector_start_pose_mismatch,3.5
596,10,connector_end_pose_mismatch,3.5
596,14,connector_start_pose_mismatch,3.5
596,14,connector_end_pose_mismatch,3.5
99,2,connector_start_pose_mismatch,3.5
99,2,connector_end_pose_mismatch,3.500001
99,3,connector_end_pose_mismatch,3.500002
99,5,connector_start_pose_mismatch,3.500167
1011,3,connector_start_pose_mismatch,3.5
1011,3,connector_end_pose_mismatch,3.5
1011,7,connector_start_pose_mismatch,3.5
1011,7,connector_end_pose_mismatch,3.5
1011,11,connector_start_pose_mismatch,3.5
1011,11,connector_end_pose_mismatch,3.5
1011,15,connector_start_pose_mismatch,3.5
1011,15,connector_end_pose_mismatch,3.5
1012,2,connector_start_pose_mismatch,3.5
1012,2,connector_end_pose_mismatch,3.5
1012,3,connector_end_pose_mismatch,3.5
1012,5,connector_start_pose_mismatch,3.5
1012,5,connector_end_pose_mismatch,3.5
1012,6,connector_start_pose_mismatch,3.5
1013,2,connector_start_pose_mismatch,3.5
1013,2,connector_end_pose_mismatch,3.5
1013,5,connector_start_pose_mismatch,3.5
1013,5,connector_end_pose_mismatch,3.5
1013,8,connector_start_pose_mismatch,3.5
1013,8,connector_end_pose_mismatch,3.5
1014,4,connector_start_pose_mismatch,3.5
1014,4,connector_end_pose_mismatch,3.5
1014,7,connector_start_pose_mismatch,3.499999
1014,7,connector_end_pose_mismatch,3.5
1015,0,connector_start_pose_mismatch,3.5
1015,0,connector_end_pose_mismatch,3.5
4,1,connector_end_pose_mismatch,3.5
1017,2,connector_end_pose_mismatch,3.5
1018,0,connector_start_pose_mismatch,3.5
1018,3,connector_start_pose_mismatch,3.5
100,0,connector_start_pose_mismatch,3.5
100,1,connector_start_pose_mismatch,3.5
100,6,connector_start_pose_mismatch,3.5
100,6,connector_end_pose_mismatch,3.5
100,7,connector_start_pose_mismatch,3.5
100,8,connector_start_pose_mismatch,3.5
100,13,connector_start_pose_mismatch,3.499999
100,13,connector_end_pose_mismatch,3.5
1020,5,connector_start_pose_mismatch,3.5
1021,3,connector_start_pose_mismatch,3.5
1021,6,connector_start_pose_mismatch,3.5
1021,6,connector_end_pose_mismatch,3.5
1022,2,connector_start_pose_mismatch,3.5
1022,2,connector_end_pose_mismatch,3.5
1022,7,connector_start_pose_mismatch,3.500001
1022,7,connector_end_pose_mismatch,3.499999
2,2,connector_start_pose_mismatch,3.5
2,2,connector_end_pose_mismatch,3.500001
2,5,connector_start_pose_mismatch,3.5
2,5,connector_end_pose_mismatch,3.5
2,8,connector_start_pose_mismatch,3.5
2,8,connector_end_pose_mismatch,3.5
1024,0,connector_end_pose_mismatch,3.499997
1024,2,connector_start_pose_mismatch,3.499999
1024,2,connector_end_pose_mismatch,3.5
1024,5,connector_start_pose_mismatch,3.5
1024,5,connector_end_pose_mismatch,3.5
1024,8,connector_start_pose_mismatch,3.5
1024,8,connector_end_pose_mismatch,3.5
1025,9,connector_start_pose_mismatch,3.5
1025,9,connector_end_pose_mismatch,3.5
1025,13,connector_start_pose_mismatch,3.5
1025,13,connector_end_pose_mismatch,3.5
1026,3,connector_start_pose_mismatch,3.5
1026,3,connector_end_pose_mismatch,3.5
1026,7,connector_start_pose_mismatch,3.500001
1026,7,connector_end_pose_mismatch,3.5
1026,11,connector_start_pose_mismatch,3.5
1026,11,connector_end_pose_mismatch,3.5
1026,15,connector_start_pose_mismatch,3.5
1026,15,connector_end_pose_mismatch,3.5
1027,0,connector_end_pose_mismatch,3.500266
1027,4,connector_start_pose_mismatch,3.499999
1027,5,connector_start_pose_mismatch,3.499999
101,1,connector_end_pose_mismatch,3.5
1028,4,connector_start_pose_mismatch,3.5
1028,4,connector_end_pose_mismatch,3.5
1029,4,connector_start_pose_mismatch,3.5
1029,4,connector_end_pose_mismatch,3.5
1029,7,connector_start_pose_mismatch,3.5
1029,7,connector_end_pose_mismatch,3.5
1030,4,connector_start_pose_mismatch,3.5
1030,4,connector_end_pose_mismatch,3.5
1030,7,connector_start_pose_mismatch,3.5
1030,7,connector_end_pose_mismatch,3.5
1031,4,connector_start_pose_mismatch,3.5
1031,4,connector_end_pose_mismatch,3.5
1031,7,connector_start_pose_mismatch,3.5
1031,7,connector_end_pose_mismatch,3.5
1032,3,connector_start_pose_mismatch,3.5
1032,3,connector_end_pose_mismatch,3.5
1032,7,connector_start_pose_mismatch,3.5
1032,7,connector_end_pose_mismatch,3.5
1032,11,connector_start_pose_mismatch,3.5
1032,11,connector_end_pose_mismatch,3.5
1032,15,connector_start_pose_mismatch,3.5
1032,15,connector_end_pose_mismatch,3.5
1033,0,connector_end_pose_mismatch,3.499999
1033,3,connector_start_pose_mismatch,3.5
1033,3,connector_end_pose_mismatch,3.5
1033,7,connector_start_pose_mismatch,3.5
1033,7,connector_end_pose_mismatch,3.5
1033,11,connector_start_pose_mismatch,3.5
1033,11,connector_end_pose_mismatch,3.5
1033,15,connector_start_pose_mismatch,3.5
1033,15,connector_end_pose_mismatch,3.5
1034,0,connector_end_pose_mismatch,7.035218
1034,2,connector_start_pose_mismatch,3.499999
1034,2,connector_end_pose_mismatch,3.5
1034,4,connector_end_pose_mismatch,3.5
1035,4,connector_start_pose_mismatch,3.5
