road_id,relation,elementType,elementId,source_contact,target_contact,xy_gap_m,hdg_gap_deg,z_gap_m,issue
42510,predecessor,junction,277,start,,,,,non_road_link
42510,successor,junction,278,end,,,,,non_road_link
42511,predecessor,junction,279,start,,,,,non_road_link
42511,successor,junction,280,end,,,,,non_road_link
42512,predecessor,junction,281,start,,,,,non_road_link
42512,successor,junction,282,end,,,,,non_road_link
42513,predecessor,junction,232,start,,,,,non_road_link
42513,successor,junction,283,end,,,,,non_road_link
42514,predecessor,junction,233,start,,,,,non_road_link
42514,successor,junction,232,end,,,,,non_road_link
42515,predecessor,junction,284,start,,,,,non_road_link
42515,successor,junction,285,end,,,,,non_road_link
42516,successor,junction,286,end,,,,,non_road_link
42517,predecessor,junction,287,start,,,,,non_road_link
42517,successor,junction,288,end,,,,,non_road_link
42518,predecessor,junction,289,start,,,,,non_road_link
42518,successor,junction,287,end,,,,,non_road_link
42519,predecessor,junction,290,start,,,,,non_road_link
42519,successor,junction,289,end,,,,,non_road_link
42520,predecessor,junction,291,start,,,,,non_road_link
42520,successor,junction,290,end,,,,,non_road_link
42521,predecessor,junction,292,start,,,,,non_road_link
42521,successor,junction,291,end,,,,,non_road_link
42522,predecessor,junction,199,start,,,,,non_road_link
42522,successor,junction,293,end,,,,,non_road_link
42523,successor,junction,199,end,,,,,non_road_link
42524,predecessor,junction,294,start,,,,,non_road_link
42524,successor,junction,295,end,,,,,non_road_link
42525,predecessor,junction,296,start,,,,,non_road_link
42525,successor,junction,297,end,,,,,non_road_link
42526,predecessor,junction,298,start,,,,,non_road_link
42526,successor,junction,19,end,,,,,non_road_link
42527,predecessor,junction,299,start,,,,,non_road_link
42527,successor,junction,300,end,,,,,non_road_link
42528,predecessor,junction,301,start,,,,,non_road_link
42528,successor,junction,302,end,,,,,non_road_link
42529,predecessor,junction,301,start,,,,,non_road_link
42529,successor,junction,303,end,,,,,non_road_link
42530,predecessor,junction,304,start,,,,,non_road_link
42530,successor,junction,169,end,,,,,non_road_link
42531,predecessor,junction,305,start,,,,,non_road_link
42531,successor,junction,306,end,,,,,non_road_link
42532,successor,junction,307,end,,,,,non_road_link
42533,predecessor,junction,302,start,,,,,non_road_link
42533,successor,junction,308,end,,,,,non_road_link
42534,predecessor,junction,309,start,,,,,non_road_link
42534,successor,junction,310,end,,,,,non_road_link
42535,predecessor,junction,311,start,,,,,non_road_link
42535,successor,junction,312,end,,,,,non_road_link
42536,predecessor,junction,313,start,,,,,non_road_link
42536,successor,junction,314,end,,,,,non_road_link
42537,predecessor,junction,315,start,,,,,non_road_link
42537,successor,junction,316,end,,,,,non_road_link
42538,predecessor,junction,317,start,,,,,non_road_link
42538,successor,junction,318,end,,,,,non_road_link
42539,successor,junction,319,end,,,,,non_road_link
42540,predecessor,junction,320,start,,,,,non_road_link
42540,successor,junction,321,end,,,,,non_road_link
42541,predecessor,junction,322,start,,,,,non_road_link
42541,successor,junction,323,end,,,,,non_road_link
42542,predecessor,junction,324,start,,,,,non_road_link
42542,successor,junction,104,end,,,,,non_road_link
42543,predecessor,junction,325,start,,,,,non_road_link
42543,successor,junction,324,end,,,,,non_road_link
42544,predecessor,junction,326,start,,,,,non_road_link
42544,successor,junction,327,end,,,,,non_road_link
42545,predecessor,junction,328,start,,,,,non_road_link
42545,successor,junction,329,end,,,,,non_road_link
42546,predecessor,junction,104,start,,,,,non_road_link
42546,successor,junction,330,end,,,,,non_road_link
42547,predecessor,junction,79,start,,,,,non_road_link
42547,successor,junction,331,end,,,,,non_road_link
42548,predecessor,junction,332,start,,,,,non_road_link
42548,successor,junction,333,end,,,,,non_road_link
42549,predecessor,junction,334,start,,,,,non_road_link
42549,successor,junction,335,end,,,,,non_road_link
42550,predecessor,junction,336,start,,,,,non_road_link
42550,successor,junction,337,end,,,,,non_road_link
42551,predecessor,junction,338,start,,,,,non_road_link
42551,successor,junction,339,end,,,,,non_road_link
42552,predecessor,junction,340,start,,,,,non_road_link
42552,successor,junction,338,end,,,,,non_road_link
42553,predecessor,junction,341,start,,,,,non_road_link
42553,successor,junction,338,end,,,,,non_road_link
42554,predecessor,junction,342,start,,,,,non_road_link
42554,successor,junction,334,end,,,,,non_road_link
42555,predecessor,junction,343,start,,,,,non_road_link
42555,successor,junction,344,end,,,,,non_road_link
42556,predecessor,junction,345,start,,,,,non_road_link
42556,successor,junction,343,end,,,,,non_road_link
42557,predecessor,junction,346,start,,,,,non_road_link
42557,successor,junction,345,end,,,,,non_road_link
42558,predecessor,junction,347,start,,,,,non_road_link
42558,successor,junction,346,end,,,,,non_road_link
42559,predecessor,junction,348,start,,,,,non_road_link
42559,successor,junction,347,end,,,,,non_road_link
42560,successor,junction,349,end,,,,,non_road_link
42561,predecessor,junction,350,start,,,,,non_road_link
42561,successor,junction,351,end,,,,,non_road_link
42562,predecessor,junction,352,start,,,,,non_road_link
42562,successor,junction,350,end,,,,,non_road_link
42563,predecessor,junction,353,start,,,,,non_road_link
42563,successor,junction,352,end,,,,,non_road_link
42564,predecessor,junction,354,start,,,,,non_road_link
42564,successor,junction,355,end,,,,,non_road_link
42565,predecessor,junction,356,start,,,,,non_road_link
42565,successor,junction,357,end,,,,,non_road_link
42566,predecessor,junction,358,start,,,,,non_road_link
42566,successor,junction,110,end,,,,,non_road_link
42567,predecessor,junction,57,start,,,,,non_road_link
42567,successor,junction,359,end,,,,,non_road_link
42568,predecessor,junction,360,start,,,,,non_road_link
42568,successor,junction,252,end,,,,,non_road_link
42569,predecessor,junction,361,start,,,,,non_road_link
42569,successor,junction,362,end,,,,,non_road_link
42570,predecessor,junction,363,start,,,,,non_road_link
42570,successor,junction,361,end,,,,,non_road_link
42571,predecessor,junction,364,start,,,,,non_road_link
42571,successor,junction,363,end,,,,,non_road_link
42572,predecessor,junction,365,start,,,,,non_road_link
42572,successor,junction,364,end,,,,,non_road_link
42573,predecessor,junction,366,start,,,,,non_road_link
42573,successor,junction,367,end,,,,,non_road_link
42574,predecessor,junction,368,start,,,,,non_road_link
42574,successor,junction,369,end,,,,,non_road_link
42575,predecessor,junction,370,start,,,,,non_road_link
42575,successor,junction,371,end,,,,,non_road_link
42576,successor,junction,372,end,,,,,non_road_link
