tile,fixed_in_place,negative_s_before,negative_s_after,monotonic_issues_before,monotonic_issues_after,examples
tile_6_11.xodr,0,0,0,0,0,
tile_6_12.xodr,0,0,0,0,0,
tile_6_13.xodr,0,0,0,0,0,
tile_6_14.xodr,0,0,0,0,0,
tile_6_15.xodr,0,0,0,0,0,
tile_6_16.xodr,0,0,0,0,0,
tile_6_17.xodr,0,0,0,0,0,
tile_6_18.xodr,0,0,0,0,0,
tile_6_19.xodr,0,0,0,0,0,
tile_6_2.xodr,0,0,0,0,0,
tile_6_20.xodr,0,0,0,0,0,
tile_6_23.xodr,0,0,0,0,0,
tile_6_3.xodr,0,0,0,0,0,
tile_6_4.xodr,0,0,0,0,0,
tile_6_5.xodr,0,0,0,0,0,
tile_6_6.xodr,0,0,0,0,0,
tile_7_1.xodr,0,0,0,0,0,
tile_7_10.xodr,0,0,0,0,0,
tile_7_11.xodr,0,0,0,0,0,
tile_7_12.xodr,0,0,0,0,0,
tile_7_13.xodr,0,0,0,0,0,
tile_7_14.xodr,0,0,0,0,0,
tile_7_15.xodr,0,0,0,0,0,
tile_7_16.xodr,0,0,0,0,0,
tile_7_17.xodr,0,0,0,0,0,
tile_7_18.xodr,0,0,0,0,0,
tile_7_19.xodr,0,0,0,0,0,
tile_7_2.xodr,0,0,0,0,0,
tile_7_20.xodr,0,0,0,0,0,
tile_7_3.xodr,0,0,0,0,0,
tile_7_4.xodr,0,0,0,0,0,
tile_7_5.xodr,0,0,0,0,0,
tile_7_6.xodr,0,0,0,0,0,
tile_7_7.xodr,0,0,0,0,0,
tile_7_8.xodr,0,0,0,0,0,
tile_8_1.xodr,0,0,0,0,0,
tile_8_12.xodr,0,0,0,0,0,
tile_8_13.xodr,0,0,0,0,0,
tile_8_14.xodr,0,0,0,0,0,
tile_8_15.xodr,0,0,0,0,0,
tile_8_16.xodr,0,0,0,0,0,
tile_8_17.xodr,0,0,0,0,0,
tile_8_18.xodr,0,0,0,0,0,
tile_8_19.xodr,0,0,0,0,0,
tile_8_2.xodr,0,0,0,0,0,
tile_8_20.xodr,0,0,0,0,0,
tile_8_21.xodr,0,0,0,0,0,
tile_8_22.xodr,0,0,0,0,0,
tile_8_23.xodr,0,0,0,0,0,
tile_8_3.xodr,0,0,0,0,0,
tile_8_4.xodr,0,0,0,0,0,
tile_8_5.xodr,0,0,0,0,0,
tile_8_6.xodr,0,0,0,0,0,
tile_8_7.xodr,0,0,0,0,0,
tile_8_8.xodr,0,0,0,0,0,
tile_9_0.xodr,0,0,0,0,0,
tile_9_1.xodr,0,0,0,0,0,
tile_9_12.xodr,0,0,0,0,0,
tile_9_13.xodr,0,0,0,0,0,
tile_9_14.xodr,0,0,0,0,0,
tile_9_15.xodr,0,0,0,0,0,
tile_9_16.xodr,0,0,0,0,0,
tile_9_17.xodr,0,0,0,0,0,
tile_9_18.xodr,0,0,0,0,0,
tile_9_19.xodr,0,0,0,0,0,
tile_9_2.xodr,0,0,0,0,0,
tile_9_20.xodr,0,0,0,0,0,
tile_9_21.xodr,0,0,0,0,0,
tile_9_22.xodr,0,0,0,0,0,
tile_9_23.xodr,0,0,0,0,0,
tile_9_24.xodr,0,0,0,0,0,
tile_9_3.xodr,0,0,0,0,0,
tile_9_4.xodr,0,0,0,0,0,
tile_9_5.xodr,0,0,0,0,0,
tile_9_6.xodr,0,0,0,0,0,
tile_9_7.xodr,0,0,0,0,0,
tile_9_8.xodr,0,0,0,0,0,
